Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After,
Indonesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",890.815,860.854,931.877,"1,015.619","1,042.272","1,119.100","1,059.055","1,186.510","1,319.076","1,371.171","1,402.590",2023,
Indonesia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","2,380.385","2,519.629","2,671.590","2,857.305","3,069.919","3,266.186","3,223.405","3,530.623","3,983.080","4,334.721","4,658.321",2023,
Indonesia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","10,784.013","11,176.145","11,588.139","12,042.442","12,531.011","13,024.376","12,599.952","12,947.903","13,484.728","14,014.175","14,557.091",2023,
Indonesia,Unemployment rate,Percent of total labor force,Units,"Source: National Statistics Office. CEIC and EMED Emerging Asia Latest actual data: 2023. Since 2004 the authorities issue unemployment data twice a year, February and August. Annual uses the last data available Employment type: National definition Primary domestic currency: Indonesian rupiah Data last updated: 09/2024",5.940,6.180,5.610,5.500,5.240,5.180,7.070,6.490,5.860,5.320,5.200,2023,
Indonesia,Employment,Persons,Millions,,,,,,,,,,,,,,
Indonesia,Population,Persons,Millions,Source: BPS (Statistics Indonesia) and staff estimates. Latest actual data: 2023 Primary domestic currency: Indonesian rupiah Data last updated: 09/2024,252.165,255.182,258.497,261.356,264.162,266.912,270.204,272.679,275.720,278.696,281.604,2023,
Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",342.868,301.355,301.256,319.109,358.783,365.178,337.456,373.785,407.606,399.705,439.748,2023,
Malaysia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",710.098,752.573,793.531,854.694,914.713,967.568,931.106,"1,022.400","1,192.355","1,279.182","1,372.610",2023,
Malaysia,"Gross domestic product per capita, constant prices",Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","26,829.191","27,741.118","28,565.746","29,858.910","30,957.285","32,183.662","30,498.715","31,385.057","34,086.879","34,864.047","36,099.411",2023,
Malaysia,Unemployment rate,Percent of total labor force,Units,Source: CEIC/IMF staff/NSO Latest actual data: 2023 Employment type: National definition Primary domestic currency: Malaysian ringgit Data last updated: 10/2024,2.875,3.150,3.450,3.425,3.325,3.275,4.525,4.650,3.825,3.625,3.525,2023,
Malaysia,Employment,Persons,Millions,,,,,,,,,,,,,,
Malaysia,Population,Persons,Millions,Source: National Statistics Office. From Department of Statistics Malaysia (DOS) downloaded via CEIC Latest actual data: 2023 Primary domestic currency: Malaysian ringgit Data last updated: 10/2024,30.709,31.186,31.634,32.023,32.382,32.523,32.447,32.576,32.652,33.059,33.460,2023,
Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",297.484,306.446,318.627,328.481,346.842,376.823,361.751,394.087,404.353,437.146,470.062,2023,
Philippines,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",665.098,713.885,772.192,840.501,914.883,988.832,923.367,"1,001.825","1,154.611","1,262.499","1,367.043",2023,
Philippines,"Gross domestic product per capita, constant prices",Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","7,669.806","8,033.747","8,465.390","8,909.613","9,332.174","9,761.941","8,678.277","9,100.877","9,714.916","10,164.815","10,630.047",2023,
Philippines,Unemployment rate,Percent of total labor force,Units,Source: National Statistics Office. Accessed via Haver Latest actual data: 2023 Employment type: Harmonized ILO definition. Please note that data prior to 2005 are not based on harmonized ILO definition but based on national definition. Primary domestic currency: Philippine peso Data last updated: 09/2024,6.800,6.275,5.475,5.725,5.325,5.100,10.400,7.783,5.400,4.358,4.367,2023,
Philippines,Employment,Persons,Millions,,,,,,,,,,,,,,
Philippines,Population,Persons,Millions,Source: National Statistics Office. Accessed via Haver Latest actual data: 2023 Primary domestic currency: Philippine peso Data last updated: 09/2024,99.310,100.830,102.530,104.170,105.760,107.290,109.200,110.080,110.940,111.910,113.170,2023,
Singapore,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",314.864,307.999,319.054,343.257,376.893,376.902,349.488,434.111,498.475,501.428,530.708,2023,
Singapore,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",464.166,482.420,504.481,536.690,585.857,601.968,577.747,719.130,799.968,837.665,879.978,2023,
Singapore,"Gross domestic product per capita, constant prices",Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","106,604.493","108,483.210","110,927.693","115,831.112","119,343.146","119,572.277","115,304.149","131,864.092","132,468.930","127,543.555","130,403.790",2023,
Singapore,Unemployment rate,Percent of total labor force,Units,Source: National Statistics Office Latest actual data: 2023 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 09/2024,1.950,1.900,2.075,2.175,2.100,2.250,3.000,2.650,2.100,1.925,1.900,2023,
Singapore,Employment,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 09/2024,3.570,3.636,3.672,3.663,3.692,3.753,3.655,3.612,3.798,3.970,3.987,2023,
Singapore,Population,Persons,Millions,Source: National Statistics Office Latest actual data: 2023 Primary domestic currency: Singapore dollar Data last updated: 09/2024,5.470,5.535,5.607,5.612,5.639,5.704,5.686,5.454,5.637,5.918,5.938,2023,
Thailand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",407.350,401.183,413.479,456.336,506.553,543.879,500.501,506.270,495.622,514.836,528.919,2023,
Thailand,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,084.972","1,129.360","1,179.255","1,250.522","1,347.311","1,427.827","1,372.919","1,452.137","1,594.739","1,683.069","1,771.532",2023,
Thailand,"Gross domestic product per capita, constant prices",Purchasing power parity; 2021 international dollar,Units,"See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).","18,802.913","19,314.379","19,903.477","20,663.526","21,468.300","21,860.193","20,486.329","20,759.395","21,242.128","21,607.693","22,186.409",2023,
Thailand,Unemployment rate,Percent of total labor force,Units,"Source: National Statistics Office. Labour Force Survey, downloaded from CEIC Latest actual data: 2023 Employment type: National definition Primary domestic currency: Thai baht Data last updated: 09/2024",0.800,0.900,1.000,1.200,1.100,1.000,1.700,1.900,1.300,1.000,1.100,2023,
Thailand,Employment,Persons,Millions,,,,,,,,,,,,,,
Thailand,Population,Persons,Millions,"Source: National Statistics Office. Labour Force Survey, downloaded from CEIC Latest actual data: 2023 Primary domestic currency: Thai baht Data last updated: 09/2024",68.439,68.715,68.971,69.210,69.428,69.626,69.800,69.951,70.078,70.183,70.266,2023,
,,,,,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, October 2024",,,,,,,,,,,,,,,,,